name,title,department
Elrashid Yousif Mohd Abbas,Senior Lecturer,department of humanities and social sciences
Hamid Ait Abderrahmane,Assistant Professor,department of mechanical engineering
Sufian Abedrabbo,Associate Professor,department of physics
Yousef Abosalem,Senior Lecturer,preparatory program
Mohamed Abou-Khousa,Associate Professor,department of electrical engineering and computer science
Eiyad Abu-Nada,Professor,department of mechanical engineering
Marwan Abualrub,Senior Lecturer,preparatory program
Juan Acuna,"Associate Professor & Chair, Department of Epidemiology and Public Health & Assistant Dean, Research",College of Medicine and Health Sciences
Yacine Addad,Associate Professor,department of nuclear engineering
Imran Afgan,Associate Professor,department of mechanical engineering
Jamal Ahmad,Professor,department of mechanical engineering
Rafic Ajaj,Assistant Professor,department of aerospace engineering
Hakim Ajhar,Associate Professor,department of humanities and social sciences
Khalid Al Ali,Assistant Professor,department of chemical engineering
Mo’tassem Al Arydah,Assistant Professor,department of mathematics
Mayssa Hachem Al Galib,Assistant Professor,department of chemistry
Amal Al Ghaferi,Associate Professor,department of mechanical engineering
Ahmed Al Hajaj,Assistant Professor,department of chemical engineering
Ali Al Hammadi,Assistant Professor,department of chemical engineering
Khalid Al Hammadi,Assistant Professor,department of electrical engineering and computer science
Yousof Al Hammadi,Associate Professor & Acting Dean of Graduate Studies,department of electrical engineering and computer science
Mariam Helal Al Hanai,Lecturer,department of mathematics
Dirar Al Homouz,Associate Professor,department of physics
Khalifa Al Hosani,Associate Professor,department of electrical engineering and computer science
Emad Al Hseinat,Assistant Professor,department of chemical engineering
Khaled Ali Al Jaafari,Assistant Professor,department of electrical engineering and computer science
Mohammed Saad Abdulla Al Kobaisi,Associate Professor,department of petroleum engineering
Faisal Al Marzooqi,Assistant Professor,department of chemical engineering
Mahmoud Al Qutayri,Professor & Associate Dean of Graduate Studies,department-of-electrical-engineering-and-computer-science
Habiba Al Safar,"Associate Professor, Associate Dean of Student Affairs & Director of BTC",College of Medicine and Health Sciences
Yousuf Al Salami,Assistant Professor,department of electrical engineering and computer science
Eman Al Sarairah,Senior Lecturer,department of mathematics
Naji Al Sayari,Assistant Professor,department of electrical engineering and computer science
Emad W. Al Shalabi,Assistant Professor,department of petroleum engineering
Maryam Rashed Al Shehhi,Assistant Professor,department of civil infrastructure and environmental engineering
Ahmed Al Shoaibi,Associate Professor & Senior Vice President for Academic and Student Services,department of chemical engineering
Mohammad A. Al Shudeifat,Associate Professor,department of aerospace engineering
Wael Samir Al Sokkary,Lecturer,department of english
Aisha Al Suwaidi,Associate Professor,department of earth sciences
Ahmed Rashed Kulaib Al Tunaiji,Assistant Professor,department of electrical engineering and computer science
Omar Al Zaabi,Assistant Professor,department of electrical engineering and computer science
Mutasim Al-Deaibes,Assistant Professor,department of english
